price,neighbourhood,latitude,longitude,property_type,bathrooms,bedrooms,beds,host_is_superhost,parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
80,80.0,40.82772,-73.9387699999999,1.0,1.0,1,1,0.0,1.0,0,1,0
121,101.0,40.7763099999999,-73.95289,1.0,1.0,1,1,0.0,1.0,1,0,0
195,101.0,40.73104,-74.00879,1.0,1.0,1,1,0.0,0.0,0,1,0
160,59.0,40.74253,-73.9916,1.0,1.0,1,1,0.0,0.0,0,1,0
70,18.0,40.64372,-74.0206599999999,1.0,1.0,1,1,0.0,0.0,1,0,0
100,76.0,40.72886,-74.00013,1.0,1.0,1,1,0.0,0.0,0,1,0
160,18.0,40.71682,-73.96369,23.0,1.0,1,1,0.0,0.0,0,1,0
178,18.0,40.67725,-73.9821,1.0,1.0,2,2,0.0,0.0,1,0,0
125,18.0,40.67188,-73.97533,1.0,1.0,1,1,0.0,1.0,1,0,0
77,18.0,40.65846,-73.95057,21.0,1.0,1,1,0.0,1.0,0,1,0
60,101.0,40.78164,-73.94717,1.0,1.0,1,1,0.0,0.0,0,1,0
115,101.0,40.77584,-73.9502,1.0,1.0,1,2,0.0,0.0,0,0,1
175,80.0,40.79967,-73.95156,1.0,1.5,2,3,1.0,1.0,0,1,0
125,18.0,40.66847,-73.94875,1.0,1.0,1,2,0.0,0.0,1,0,0
120,75.0,40.7376,-73.95678,23.0,1.0,1,1,0.0,0.0,0,1,0
190,18.0,40.72488,-73.94013,1.0,1.0,2,2,0.0,0.0,1,0,0
200,101.0,40.75643,-73.99046,1.0,1.0,2,2,0.0,0.0,1,0,0
50,18.0,40.59721,-73.95149,1.0,1.0,1,1,0.0,0.0,1,0,0
160,80.0,40.80491,-73.94866,3.0,1.0,1,1,0.0,0.0,0,1,0
180,80.0,40.80334,-73.94805,3.0,1.0,1,3,0.0,1.0,0,1,0
100,87.0,40.87039,-73.91611,1.0,1.0,1,1,0.0,0.0,0,1,0
70,18.0,40.704,-73.93285,1.0,1.0,1,1,0.0,0.0,0,1,0
