price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
125,Harlem,40.81068,-73.94288,Condominium,Private room,1.0,1,1,0.0,1
400,Harlem,40.81122,-73.94279,Apartment,Entire home/apt,2.0,2,2,0.0,-1
69,Coney Island,40.58147,-73.96726,Apartment,Private room,1.0,1,1,0.0,-1
349,Brooklyn,40.73674,-73.9524699999999,Boutique hotel,Private room,1.0,1,2,0.0,-1
249,Brooklyn,40.7378299999999,-73.95259,Boutique hotel,Private room,1.0,1,2,0.0,-1
299,Greenpoint,40.73714,-73.95296,Boutique hotel,Private room,1.0,1,2,0.0,-1
179,Brooklyn,40.73731,-73.9545,Boutique hotel,Private room,1.0,1,1,0.0,-1
75,Queens,40.70554,-73.76637,House,Private room,1.0,1,1,0.0,1
50,South Beach,40.59101,-74.06685,Apartment,Private room,1.5,1,1,0.0,1
125,South Beach,40.59262,-74.06659,Apartment,Entire home/apt,1.0,1,3,0.0,-1
70,Fort Greene,40.69142,-73.97203,Apartment,Entire home/apt,1.0,1,1,0.0,-1
130,Bedford-Stuyvesant,40.68338,-73.95289,Apartment,Entire home/apt,2.0,2,2,0.0,-1
95,Chelsea,40.74025,-74.00161,Apartment,Private room,1.0,1,1,0.0,-1
375,West Village,40.7337799999999,-74.00429,Apartment,Entire home/apt,2.0,2,2,0.0,1
80,Lower East Side,40.7193,-73.98966,Apartment,Private room,1.0,1,1,0.0,1
155,Harlem,40.8215099999999,-73.94516,Apartment,Entire home/apt,1.0,1,2,0.0,-1
99,Brooklyn,40.6711,-73.95231,Apartment,Private room,1.0,1,1,1.0,1
485,Manhattan,40.76128,-73.96463,Apartment,Entire home/apt,1.0,2,3,0.0,-1
310,Manhattan,40.72313,-73.99438,Loft,Entire home/apt,1.0,2,2,0.0,1
110,Williamsburg,40.7177,-73.95576,Loft,Entire home/apt,1.0,1,1,0.0,-1
167,Manhattan,40.78304,-73.97447,Apartment,Entire home/apt,1.0,1,2,1.0,1
147,Fort Greene,40.68737,-73.97125,Apartment,Entire home/apt,1.0,1,2,0.0,-1
220,Manhattan,40.74139,-74.0005,Apartment,Entire home/apt,1.0,2,3,0.0,-1
65,Financial District,40.7074099999999,-74.00102,Apartment,Private room,1.0,1,1,1.0,-1
60,Kensington,40.64277,-73.97296,Apartment,Private room,1.0,1,1,0.0,1
290,Brooklyn,40.71647,-73.93974,Condominium,Entire home/apt,2.0,2,2,0.0,1
34,Brooklyn,40.68812,-73.93254,House,Private room,1.0,1,1,1.0,1
75,Brooklyn,40.71028,-73.96128,Apartment,Private room,1.0,1,1,0.0,-1
60,Bedford-Stuyvesant,40.68884,-73.95059,Apartment,Private room,1.0,1,1,1.0,1
300,Manhattan,40.7637299999999,-73.96897,Apartment,Entire home/apt,1.0,1,3,0.0,-1
60,Brooklyn,40.72723,-73.95728,Apartment,Private room,1.0,1,1,0.0,-1
88,Brooklyn,40.69135,-73.97321,Apartment,Entire home/apt,1.0,1,1,0.0,-1
200,East Harlem,40.79793,-73.9361199999999,Apartment,Private room,1.0,1,1,0.0,-1
135,Brooklyn,40.68156,-73.96537,Apartment,Entire home/apt,1.0,1,1,0.0,-1
75,Brooklyn,40.72868,-73.95835,Apartment,Private room,1.0,1,1,1.0,-1
30,Queens,40.77117,-73.91905,Apartment,Private room,2.0,1,1,0.0,-1
250,Manhattan,40.73729,-74.0080699999999,Loft,Entire home/apt,1.0,1,1,0.0,-1
64,Brooklyn,40.66984,-73.95141,Apartment,Private room,1.0,1,1,0.0,-1
300,Manhattan,40.82977,-73.94071,Apartment,Entire home/apt,1.0,2,3,0.0,-1
200,West Village,40.73879,-74.00425,Apartment,Entire home/apt,1.0,2,2,0.0,-1
140,Brooklyn,40.73321,-73.9558699999999,Loft,Entire home/apt,1.0,2,2,0.0,1
90,Kensington,40.6433,-73.97386,Apartment,Entire home/apt,1.0,1,1,0.0,-1
300,Brooklyn,40.70766,-73.95191,Apartment,Entire home/apt,1.0,3,4,0.0,-1
175,Manhattan,40.76001,-73.99133,Apartment,Entire home/apt,1.0,1,1,0.0,-1
47,Brooklyn,40.69657,-73.9129,Apartment,Private room,1.0,1,1,0.0,-1
179,Manhattan,40.72948,-73.98694,Apartment,Entire home/apt,1.0,1,1,0.0,1
189,Carroll Gardens,40.68353,-73.9914,Apartment,Entire home/apt,1.0,2,2,0.0,-1
249,Manhattan,40.7253,-73.99916,Apartment,Entire home/apt,1.0,1,1,0.0,-1
65,Astoria,40.75295,-73.93228,Cabin,Private room,1.0,2,4,0.0,-1
209,Manhattan,40.7733799999999,-73.9888699999999,Apartment,Entire home/apt,1.0,1,1,1.0,-1
70,Queens,40.76856,-73.91828,Apartment,Entire home/apt,1.0,1,1,0.0,-1
199,Midtown,40.7625,-73.9869,Apartment,Entire home/apt,1.0,1,1,1.0,-1
100,Brooklyn,40.67335,-73.96,Apartment,Entire home/apt,1.0,1,1,0.0,-1
110,Harlem,40.80497,-73.95146,Apartment,Entire home/apt,1.0,1,1,0.0,-1
192,Astoria,40.76444,-73.92607,Apartment,Entire home/apt,1.0,2,2,0.0,1
